feedback,sentiment,timestamp,department,patient_age_group,visit_type
The specialist seemed rushed and inattentive.,0,2024-11-05 11:26:59.445037,General Medicine,18-30,Procedure
Very effective treatment. The facility was clean and modern.,2,2024-11-05 11:26:59.449170,Emergency,75+,Emergency
"Poor communication from the healthcare provider. Moreover, Unacceptable delays.",0,2024-11-05 11:26:59.451179,Emergency,75+,Consultation
"The facility was clean and modern. Also, The procedure went very well.",2,2024-11-05 11:26:59.455263,Cardiology,31-45,Emergency
Regular interaction with the receptionist. Standard procedure. Regular facility conditions.,1,2024-11-05 11:26:59.456225,Orthopedics,75+,Consultation
Poor treatment experience! Uncomfortable environment.,0,2024-11-05 11:26:59.457136,Surgery,75+,Follow-up
Basic but functional facility! Regular interaction with the staff member.,1,2024-11-05 11:26:59.461369,Obstetrics,18-30,Consultation
"Poor maintenance of the premises. Also, Spent hours waiting.",0,2024-11-05 11:26:59.462816,Orthopedics,46-60,Emergency
"The receptionist seemed rushed and inattentive. Additionally, Uncomfortable environment. Additionally, Had to wait too long.",0,2024-11-05 11:26:59.462987,Surgery,75+,Follow-up
"Excellent facilities. Moreover, Very efficient process. Moreover, The procedure went very well.",2,2024-11-05 11:26:59.465474,Cardiology,46-60,Follow-up
Standard hospital environment! Regular interaction with the doctor.,1,2024-11-05 11:26:59.465787,Cardiology,75+,Follow-up
Poor treatment experience.,0,2024-11-05 11:26:59.468802,Cardiology,18-30,Procedure
Outdated equipment.,0,2024-11-05 11:26:59.469091,General Medicine,31-45,Follow-up
The healthcare provider was not very helpful! Spent hours waiting.,0,2024-11-05 11:26:59.469213,Oncology,75+,Consultation
"The facility was clean and modern. Additionally, Got seen right away. Additionally, Excellent treatment results.",2,2024-11-05 11:26:59.470488,Obstetrics,18-30,Follow-up
Outdated equipment. The specialist was not very helpful. The treatment wasn't effective.,0,2024-11-05 11:26:59.471019,Obstetrics,46-60,Consultation
Completely satisfied with the care received! Well-maintained hospital environment.,2,2024-11-05 11:26:59.471363,Pediatrics,18-30,Emergency
The procedure didn't help much! The care team seemed rushed and inattentive! Outdated equipment.,0,2024-11-05 11:26:59.472444,Obstetrics,61-75,Consultation
Exceptional service from the specialist.,2,2024-11-05 11:26:59.472637,General Medicine,31-45,Routine Checkup
"Acceptable cleanliness. Additionally, Regular interaction with the receptionist.",1,2024-11-05 11:26:59.476794,Surgery,61-75,Emergency
"The doctor was okay. Moreover, The treatment was okay.",1,2024-11-05 11:26:59.478639,Cardiology,31-45,Follow-up
Outdated equipment.,0,2024-11-05 11:26:59.479701,Oncology,75+,Follow-up
"Acceptable cleanliness. Also, Average waiting time. Also, Standard procedure.",1,2024-11-05 11:26:59.480232,Obstetrics,46-60,Consultation
The facility was clean and modern.,2,2024-11-05 11:26:59.484753,Oncology,61-75,Routine Checkup
The healthcare provider didn't address my concerns. Spent hours waiting. Outdated equipment.,0,2024-11-05 11:26:59.490771,Cardiology,31-45,Consultation
Unacceptable delays. Poor maintenance of the premises.,0,2024-11-05 11:26:59.492009,Obstetrics,75+,Emergency
Uncomfortable environment. Disappointed with the healthcare provider's attitude.,0,2024-11-06 11:26:59.444392,Orthopedics,31-45,Procedure
surgeon did their job as expected.,1,2024-11-06 11:26:59.445364,Oncology,46-60,Consultation
"The facility was clean and modern. Moreover, Impressed with how quickly I was seen. Moreover, The care team took time to explain everything clearly.",2,2024-11-06 11:26:59.445768,General Medicine,46-60,Follow-up
"The procedure didn't help much. Also, The physician was not very helpful.",0,2024-11-06 11:26:59.451673,Neurology,18-30,Consultation
Waited as expected. The receptionist was present when needed. Basic but functional facility.,1,2024-11-06 11:26:59.455118,Neurology,75+,Consultation
Excellent facilities. Completely satisfied with the care received. The nurse took time to explain everything clearly.,2,2024-11-06 11:26:59.457671,Oncology,31-45,Emergency
"The surgeon didn't address my concerns. Additionally, Not happy with the results. Additionally, The facility needs updating.",0,2024-11-06 11:26:59.459011,Emergency,31-45,Procedure
The facility needs updating! Disappointed with the staff member's attitude.,0,2024-11-06 11:26:59.460596,Pediatrics,75+,Consultation
Acceptable cleanliness.,1,2024-11-06 11:26:59.461709,Neurology,18-30,Consultation
"Spent hours waiting. Moreover, Cleanliness issues in the facility. Moreover, Unsatisfactory treatment outcome.",0,2024-11-06 11:26:59.468181,Oncology,75+,Consultation
The doctor seemed rushed and inattentive.,0,2024-11-06 11:26:59.469119,Pediatrics,75+,Routine Checkup
Very impressed with the specialist's expertise. Well-maintained hospital environment.,2,2024-11-06 11:26:59.469178,Orthopedics,75+,Routine Checkup
Uncomfortable environment. The doctor seemed rushed and inattentive. The waiting time was frustrating.,0,2024-11-06 11:26:59.469828,Cardiology,46-60,Routine Checkup
"Very effective treatment. Additionally, Very comfortable environment. Additionally, Very efficient process.",2,2024-11-06 11:26:59.472665,Oncology,46-60,Consultation
"Waited as expected. Also, The specialist was present when needed.",1,2024-11-06 11:26:59.480114,Pediatrics,61-75,Consultation
Spent hours waiting.,0,2024-11-06 11:26:59.483216,Pediatrics,75+,Procedure
"The procedure went very well. Additionally, The facility was clean and modern. Additionally, Exceptional service from the doctor.",2,2024-11-06 11:26:59.483294,Surgery,75+,Routine Checkup
Very effective treatment.,2,2024-11-06 11:26:59.483376,Emergency,61-75,Routine Checkup
No delays in the appointment.,2,2024-11-06 11:26:59.486610,Pediatrics,75+,Follow-up
"Got seen right away. Moreover, The procedure went very well. Moreover, State-of-the-art equipment.",2,2024-11-06 11:26:59.488681,General Medicine,75+,Consultation
"The treatment wasn't effective. Moreover, Poor maintenance of the premises.",0,2024-11-06 11:26:59.489252,Cardiology,18-30,Emergency
Regular interaction with the nurse.,1,2024-11-06 11:26:59.489482,Cardiology,31-45,Consultation
"The waiting time was frustrating. Moreover, Not happy with the results. Moreover, The nurse seemed rushed and inattentive.",0,2024-11-06 11:26:59.490296,Obstetrics,61-75,Procedure
"Exceptional service from the specialist. Moreover, No delays in the appointment. Moreover, Excellent treatment results.",2,2024-11-06 11:26:59.491773,Neurology,18-30,Consultation
"Unacceptable delays. Also, The receptionist seemed rushed and inattentive. Also, Uncomfortable environment.",0,2024-11-07 11:26:59.444462,General Medicine,61-75,Procedure
The doctor was present when needed.,1,2024-11-07 11:26:59.445215,Cardiology,18-30,Emergency
The wait was reasonable. Treatment was as expected.,1,2024-11-07 11:26:59.447601,Pediatrics,18-30,Emergency
Very comfortable environment.,2,2024-11-07 11:26:59.450008,Neurology,46-60,Procedure
"Excessive waiting time. Also, The nurse was not very helpful.",0,2024-11-07 11:26:59.450085,Pediatrics,31-45,Consultation
"Regular treatment process. Also, Regular facility conditions. Also, The care team was okay.",1,2024-11-07 11:26:59.452355,Pediatrics,18-30,Routine Checkup
The facility was clean and modern.,2,2024-11-07 11:26:59.452363,Cardiology,61-75,Consultation
"The receptionist was extremely professional and caring. Moreover, Impressed with how quickly I was seen. Moreover, Very comfortable environment.",2,2024-11-07 11:26:59.452810,Surgery,75+,Routine Checkup
Unacceptable delays.,0,2024-11-07 11:26:59.456105,Pediatrics,75+,Consultation
Poor communication from the surgeon! Poor treatment experience.,0,2024-11-07 11:26:59.456495,Pediatrics,31-45,Procedure
Excessive waiting time.,0,2024-11-07 11:26:59.457870,General Medicine,61-75,Follow-up
"The waiting time was frustrating. Additionally, Cleanliness issues in the facility. Additionally, Poor treatment experience.",0,2024-11-07 11:26:59.460147,Oncology,46-60,Emergency
The nurse didn't address my concerns.,0,2024-11-07 11:26:59.460982,Cardiology,18-30,Routine Checkup
Great outcome from the treatment. The facility was clean and modern. Exceptional service from the nurse.,2,2024-11-07 11:26:59.461833,Cardiology,75+,Procedure
"Excessive waiting time. Additionally, Not happy with the results.",0,2024-11-07 11:26:59.463921,Neurology,31-45,Follow-up
Poor treatment experience.,0,2024-11-07 11:26:59.464466,Emergency,46-60,Procedure
"Well-maintained hospital environment. Additionally, Impressed with how quickly I was seen. Additionally, The procedure went very well.",2,2024-11-07 11:26:59.467688,Oncology,18-30,Consultation
The treatment wasn't effective. The healthcare provider seemed rushed and inattentive.,0,2024-11-07 11:26:59.468095,Oncology,31-45,Follow-up
"Impressed with how quickly I was seen. Moreover, Completely satisfied with the care received. Moreover, Very comfortable environment.",2,2024-11-07 11:26:59.471584,Surgery,75+,Emergency
"Spent hours waiting. Additionally, The treatment wasn't effective.",0,2024-11-07 11:26:59.472070,Oncology,75+,Emergency
Got seen right away! The doctor took time to explain everything clearly! Completely satisfied with the care received.,2,2024-11-07 11:26:59.472140,Pediatrics,61-75,Consultation
Regular facility conditions! Normal wait times.,1,2024-11-07 11:26:59.472610,Neurology,18-30,Routine Checkup
"Completely satisfied with the care received. Additionally, Very impressed with the physician's expertise.",2,2024-11-07 11:26:59.473594,Cardiology,61-75,Routine Checkup
The specialist didn't address my concerns.,0,2024-11-07 11:26:59.473727,Emergency,46-60,Consultation
The procedure went very well.,2,2024-11-07 11:26:59.475467,Cardiology,61-75,Emergency
"Impressed with how quickly I was seen. Moreover, Very impressed with the surgeon's expertise. Moreover, Excellent facilities.",2,2024-11-07 11:26:59.476645,Cardiology,61-75,Procedure
"Excellent treatment results. Additionally, Minimal waiting time. Additionally, Well-maintained hospital environment.",2,2024-11-07 11:26:59.483299,Surgery,75+,Follow-up
"Completely satisfied with the care received. Moreover, No delays in the appointment. Moreover, State-of-the-art equipment.",2,2024-11-07 11:26:59.487317,Surgery,75+,Procedure
"Very effective treatment. Additionally, Exceptional service from the doctor. Additionally, Well-maintained hospital environment.",2,2024-11-07 11:26:59.492242,Cardiology,18-30,Consultation
"specialist provided excellent care and attention. Additionally, Very efficient process. Additionally, The procedure went very well.",2,2024-11-07 11:26:59.492716,Orthopedics,31-45,Routine Checkup
"Very efficient process. Additionally, Very impressed with the care team's expertise.",2,2024-11-08 11:26:59.447146,Emergency,18-30,Routine Checkup
"The procedure didn't help much. Additionally, Uncomfortable environment.",0,2024-11-08 11:26:59.448364,Oncology,46-60,Emergency
Poor treatment experience.,0,2024-11-08 11:26:59.452784,Pediatrics,31-45,Routine Checkup
Very impressed with the physician's expertise. The procedure went very well. Minimal waiting time.,2,2024-11-08 11:26:59.454108,Emergency,46-60,Emergency
"Disappointed with the specialist's attitude. Also, Spent hours waiting.",0,2024-11-08 11:26:59.456311,Pediatrics,46-60,Emergency
Excellent facilities.,2,2024-11-08 11:26:59.460010,Orthopedics,75+,Emergency
"Very efficient process. Moreover, Excellent treatment results.",2,2024-11-08 11:26:59.462159,Orthopedics,46-60,Procedure
Got seen right away.,2,2024-11-08 11:26:59.463222,Neurology,46-60,Consultation
"Basic but functional facility. Also, Treatment was as expected. Also, Regular interaction with the medical team.",1,2024-11-08 11:26:59.465520,Emergency,61-75,Procedure
"Regular interaction with the care team. Additionally, Normal wait times.",1,2024-11-08 11:26:59.468153,Pediatrics,61-75,Consultation
"The physician took time to explain everything clearly. Additionally, Completely satisfied with the care received.",2,2024-11-08 11:26:59.471346,General Medicine,18-30,Routine Checkup
"Great outcome from the treatment. Moreover, The staff member took time to explain everything clearly. Moreover, Minimal waiting time.",2,2024-11-08 11:26:59.472449,Obstetrics,46-60,Procedure
"Very impressed with the nurse's expertise. Also, Very comfortable environment. Also, Very effective treatment.",2,2024-11-08 11:26:59.473239,Surgery,18-30,Consultation
The treatment was okay.,1,2024-11-08 11:26:59.474606,Orthopedics,75+,Follow-up
"Uncomfortable environment. Additionally, The waiting time was frustrating.",0,2024-11-08 11:26:59.479693,Emergency,18-30,Procedure
The healthcare provider was extremely professional and caring.,2,2024-11-08 11:26:59.480071,Neurology,75+,Emergency
"Waited as expected. Moreover, Regular interaction with the receptionist.",1,2024-11-08 11:26:59.481508,Oncology,31-45,Consultation
"Well-maintained hospital environment. Additionally, The receptionist took time to explain everything clearly.",2,2024-11-08 11:26:59.483749,Emergency,31-45,Routine Checkup
Excellent treatment results.,2,2024-11-08 11:26:59.484583,Pediatrics,18-30,Consultation
The procedure went very well.,2,2024-11-08 11:26:59.484612,Neurology,61-75,Procedure
"The receptionist seemed rushed and inattentive. Additionally, Unacceptable delays.",0,2024-11-08 11:26:59.485260,Emergency,75+,Routine Checkup
Regular facility conditions.,1,2024-11-08 11:26:59.490367,General Medicine,75+,Follow-up
The procedure went very well.,2,2024-11-08 11:26:59.491180,Oncology,18-30,Routine Checkup
Unacceptable delays.,0,2024-11-08 11:26:59.491337,Oncology,31-45,Consultation
"Unacceptable delays. Additionally, The facility needs updating. Additionally, The nurse didn't address my concerns.",0,2024-11-08 11:26:59.491495,Neurology,61-75,Consultation
Well-maintained hospital environment. Exceptional service from the care team. Excellent treatment results.,2,2024-11-08 11:26:59.493036,Cardiology,61-75,Routine Checkup
Great outcome from the treatment.,2,2024-11-09 11:26:59.444377,Obstetrics,75+,Consultation
Very impressed with the medical team's expertise. Well-maintained hospital environment. Excellent treatment results.,2,2024-11-09 11:26:59.445351,Pediatrics,61-75,Procedure
